1,0,35,31,43
1,1,34,32,39
1,2,34,32,39
1,3,33,30,38
1,4,33,31,40
1,5,33,30,39
1,6,39,32,52
1,7,40,33,56
1,8,41,34,56
1,9,41,34,56
1,10,42,34,57
1,11,43,35,60
1,12,42,34,57
1,13,42,35,58
1,14,43,35,59
1,15,44,36,61
1,16,44,36,64
1,17,47,37,65
1,18,44,36,58
1,19,42,35,54
1,20,40,34,51
1,21,38,33,48
1,22,36,32,46
1,23,35,31,42
2,0,34,31,41
2,1,34,31,39
2,2,33,31,37
2,3,34,32,38
2,4,33,29,37
2,5,34,30,40
2,6,38,32,49
2,7,40,34,54
2,8,41,34,56
2,9,41,35,56
2,10,42,35,57
2,11,41,35,56
2,12,42,35,56
2,13,42,35,57
2,14,43,35,59
2,15,43,36,60
2,16,45,37,64
2,17,46,38,66
2,18,44,36,58
2,19,42,35,57
2,20,41,34,52
2,21,39,34,49
2,22,37,32,46
2,23,36,31,43
3,0,34,31,41
3,1,34,31,39
3,2,33,32,37
3,3,34,32,37
3,4,33,30,38
3,5,33,29,40
3,6,39,33,52
3,7,41,34,55
3,8,41,34,56
3,9,41,34,56
3,10,42,35,57
3,11,42,35,57
3,12,41,34,55
3,13,42,35,58
3,14,43,36,60
3,15,45,36,63
3,16,46,37,66
3,17,47,38,67
3,18,44,36,60
3,19,42,35,57
3,20,41,34,53
3,21,39,33,49
3,22,37,32,47
3,23,36,31,45
4,0,34,31,40
4,1,34,31,40
4,2,34,32,38
4,3,34,32,39
4,4,34,30,39
4,5,34,31,39
4,6,38,32,48
4,7,40,33,52
4,8,41,34,55
4,9,40,34,54
4,10,42,35,56
4,11,42,35,55
4,12,41,34,54
4,13,42,35,57
4,14,43,35,59
4,15,43,35,60
4,16,45,36,63
4,17,46,37,66
4,18,44,36,60
4,19,43,36,58
4,20,42,35,54
4,21,39,34,50
4,22,37,32,46
4,23,36,31,44
5,0,34,31,41
5,1,34,32,40
5,2,33,31,37
5,3,34,32,39
5,4,33,31,38
5,5,34,30,39
5,6,38,32,50
5,7,41,34,55
5,8,41,34,56
5,9,42,35,57
5,10,42,35,58
5,11,42,35,58
5,12,40,33,54
5,13,42,35,59
5,14,45,37,65
5,15,47,38,68
5,16,48,38,70
5,17,50,40,73
5,18,47,37,65
5,19,44,37,60
5,20,43,36,56
5,21,40,35,53
5,22,38,33,48
5,23,36,31,44
6,0,35,31,42
6,1,34,30,41
6,2,33,31,38
6,3,33,30,39
6,4,33,30,39
6,5,34,30,41
6,6,36,31,47
6,7,37,32,48
6,8,39,33,51
6,9,39,34,53
6,10,41,34,57
6,11,43,36,60
6,12,44,36,61
6,13,46,37,66
6,14,46,37,68
6,15,46,37,65
6,16,47,38,69
6,17,47,38,66
6,18,47,38,62
6,19,47,38,65
6,20,45,37,63
6,21,43,36,55
6,22,40,35,51
6,23,37,33,46
7,0,35,31,43
7,1,34,31,40
7,2,34,31,39
7,3,34,32,39
7,4,34,31,39
7,5,35,31,42
7,6,37,31,47
7,7,39,33,51
7,8,41,34,54
7,9,42,35,56
7,10,45,37,63
7,11,47,38,65
7,12,44,36,59
7,13,47,38,66
7,14,45,37,62
7,15,42,35,57
7,16,43,35,59
7,17,43,35,58
7,18,41,35,53
7,19,42,36,55
7,20,40,34,52
7,21,39,34,50
7,22,37,32,45
7,23,35,31,43
