1,0,33,28,42
1,1,32,29,40
1,2,32,29,37
1,3,31,28,36
1,4,31,27,36
1,5,32,28,38
1,6,36,30,47
1,7,39,31,55
1,8,39,32,54
1,9,40,33,57
1,10,43,35,63
1,11,44,36,66
1,12,44,35,64
1,13,45,36,69
1,14,48,37,72
1,15,49,38,73
1,16,49,39,77
1,17,53,42,78
1,18,46,37,67
1,19,43,35,61
1,20,41,34,57
1,21,40,33,54
1,22,38,31,49
1,23,35,30,45
2,0,34,29,42
2,1,32,28,40
2,2,31,29,37
2,3,31,28,36
2,4,31,28,35
2,5,32,28,37
2,6,36,30,47
2,7,39,32,55
2,8,39,32,55
2,9,40,33,56
2,10,43,34,62
2,11,44,35,63
2,12,45,36,65
2,13,46,37,71
2,14,48,38,71
2,15,48,38,71
2,16,50,39,76
2,17,54,42,79
2,18,46,38,67
2,19,44,36,63
2,20,42,35,59
2,21,41,34,55
2,22,38,32,50
2,23,35,30,45
3,0,34,29,42
3,1,33,29,40
3,2,32,29,37
3,3,31,28,36
3,4,30,28,34
3,5,33,29,38
3,6,36,30,49
3,7,39,32,56
3,8,40,32,56
3,9,41,33,58
3,10,44,35,63
3,11,44,35,65
3,12,44,36,64
3,13,47,37,70
3,14,48,38,73
3,15,50,39,73
3,16,50,40,79
3,17,54,43,82
3,18,48,39,69
3,19,44,36,63
3,20,43,35,59
3,21,41,34,59
3,22,38,32,51
3,23,35,30,46
4,0,34,29,42
4,1,33,29,41
4,2,32,28,37
4,3,32,29,37
4,4,31,28,36
4,5,33,29,38
4,6,37,30,48
4,7,39,32,56
4,8,40,33,55
4,9,41,33,58
4,10,44,35,63
4,11,45,36,66
4,12,45,36,66
4,13,47,37,71
4,14,49,39,74
4,15,49,39,72
4,16,50,40,77
4,17,53,42,78
4,18,46,37,68
4,19,45,37,64
4,20,43,35,61
4,21,42,34,57
4,22,38,32,51
4,23,35,30,46
5,0,33,29,42
5,1,33,28,42
5,2,32,29,39
5,3,32,28,37
5,4,31,28,36
5,5,33,29,39
5,6,36,30,48
5,7,39,32,56
5,8,40,33,57
5,9,41,33,59
5,10,44,35,64
5,11,46,37,68
5,12,41,33,57
5,13,46,36,71
5,14,50,39,75
5,15,49,39,74
5,16,52,40,82
5,17,57,44,85
5,18,51,40,74
5,19,48,38,69
5,20,45,36,66
5,21,44,36,61
5,22,41,34,57
5,23,37,31,49
6,0,34,30,44
6,1,34,29,42
6,2,32,28,40
6,3,32,28,38
6,4,32,28,40
6,5,33,28,41
6,6,34,29,45
6,7,36,30,49
6,8,38,31,53
6,9,40,33,57
6,10,43,35,63
6,11,44,35,65
6,12,46,36,70
6,13,48,38,73
6,14,52,41,79
6,15,50,40,76
6,16,50,40,76
6,17,51,41,76
6,18,51,41,76
6,19,52,42,76
6,20,53,42,77
6,21,51,41,75
6,22,48,39,66
6,23,41,35,57
7,0,36,31,47
7,1,34,29,43
7,2,33,29,40
7,3,32,29,39
7,4,31,28,38
7,5,33,29,39
7,6,34,28,44
7,7,35,29,46
7,8,38,31,52
7,9,40,33,56
7,10,45,36,65
7,11,47,37,70
7,12,49,38,73
7,13,51,40,76
7,14,51,41,78
7,15,51,41,77
7,16,50,40,74
7,17,50,41,73
7,18,49,40,71
7,19,48,39,68
7,20,46,37,66
7,21,43,36,60
7,22,39,32,52
7,23,35,30,46
